[1] ADD,umhaEY4lil,91628.00 
[130] SELL,ojovZ9YLZM,AAL,634.62 
[131] COMMIT_SELL,sYJRWa0Mih 
[132] COMMIT_BUY,LwNQpkd8mr 
[133] BUY,ojovZ9YLZM,NIO,440.11 
[134] COMMIT_SELL,xFrzsBbeiS 
[135] COMMIT_SELL,w69hSQMdyy 
[136] SET_BUY_TRIGGER,umhaEY4lil,DIS,13.91 
[137] DISPLAY_SUMMARY,xFrzsBbeiS 
[138] CANCEL_SET_SELL,xFrzsBbeiS,OXY 
[139] SELL,jzi5Fg2GGS,AAL,294.68 
[140] CANCEL_SET_BUY,jzi5Fg2GGS,QQQ 
[141] CANCEL_SELL,kul4JJSoHc 
[142] COMMIT_BUY,ojovZ9YLZM 
[143] ADD,xFrzsBbeiS,66350.25 
[144] SET_BUY_TRIGGER,w69hSQMdyy,XOM,119.06 
[145] BUY,CqOb5G0hB4,AME,291.71 
[146] QUOTE,ojovZ9YLZM,IPI 
[147] QUOTE,ojovZ9YLZM,RY 
[148] ADD,w69hSQMdyy,72599.15 
[149] CANCEL_SET_BUY,umhaEY4lil,INO 
[150] ADD,kul4JJSoHc,83848.11 
[151] SET_BUY_TRIGGER,sYJRWa0Mih,TD,37.17 
[152] DISPLAY_SUMMARY,xFrzsBbeiS 
[153] QUOTE,xFrzsBbeiS,AME 
[154] QUOTE,w69hSQMdyy,INO 
[155] QUOTE,sYJRWa0Mih,XOM 
[156] QUOTE,umhaEY4lil,DDS 
[157] CANCEL_SELL,ojovZ9YLZM 
[158] ADD,w69hSQMdyy,67321.71 
[159] DISPLAY_SUMMARY,ojovZ9YLZM 
[160] CANCEL_SET_BUY,jzi5Fg2GGS,INO 
[161] ADD,ojovZ9YLZM,62174.43 
[162] SET_BUY_AMOUNT,ojovZ9YLZM,DIS,622.05 
[163] DISPLAY_SUMMARY,CqOb5G0hB4 
[164] SET_SELL_AMOUNT,LwNQpkd8mr,AAL,164.40 
[165] CANCEL_SELL,BqhMWgFe1n 
[166] SET_BUY_TRIGGER,ojovZ9YLZM,XOM,26.65 
[167] SET_BUY_AMOUNT,ojovZ9YLZM,AAL,207.06 
[168] SET_BUY_TRIGGER,ojovZ9YLZM,AMD,57.30 
[169] QUOTE,w69hSQMdyy,NIO 
[170] QUOTE,LwNQpkd8mr,AR 
[171] QUOTE,LwNQpkd8mr,CNQ 
[172] BUY,kul4JJSoHc,CVE,72.87 
[173] SET_BUY_TRIGGER,kul4JJSoHc,LAC,9.98 
[174] BUY,xFrzsBbeiS,NIO,29.33 
[175] BUY,LwNQpkd8mr,BTO,700.83 
[176] COMMIT_BUY,LwNQpkd8mr 
[177] COMMIT_SELL,BqhMWgFe1n 
[178] DISPLAY_SUMMARY,jzi5Fg2GGS 
[179] BUY,w69hSQMdyy,HPK,563.70 
[180] COMMIT_SELL,BqhMWgFe1n 
[181] CANCEL_SET_SELL,jzi5Fg2GGS,INO 
[182] SET_BUY_AMOUNT,ojovZ9YLZM,DIS,37.51 
[183] COMMIT_BUY,xFrzsBbeiS 
[184] BUY,umhaEY4lil,CVE,589.19 
[185] CANCEL_SET_BUY,w69hSQMdyy,BTO 
[186] CANCEL_SET_BUY,ojovZ9YLZM,LAC 
[187] QUOTE,jzi5Fg2GGS,CPG 
[188] SET_SELL_AMOUNT,BqhMWgFe1n,AAL,29.57 
[189] BUY,jzi5Fg2GGS,PFE,456.42 
[190] COMMIT_SELL,kul4JJSoHc 
[191] CANCEL_SELL,sYJRWa0Mih 
[192] SELL,sYJRWa0Mih,AAL,679.68 
[193] DISPLAY_SUMMARY,LwNQpkd8mr 
[194] SET_BUY_AMOUNT,w69hSQMdyy,AAL,361.05 
[195] SELL,CqOb5G0hB4,RRC,496.72 
[196] SET_SELL_TRIGGER,LwNQpkd8mr,AAL,26.23 
[197] QUOTE,BqhMWgFe1n,HCC 
[198] SET_BUY_TRIGGER,w69hSQMdyy,PFE,87.70 
[199] CANCEL_SELL,w69hSQMdyy 
[200] BUY,LwNQpkd8mr,ABB,85.82 
[201] ADD,BqhMWgFe1n,91479.43 
[202] CANCEL_SET_SELL,CqOb5G0hB4,LXU 
[203] SET_SELL_TRIGGER,sYJRWa0Mih,DIS,33.56 
[204] CANCEL_SELL,xFrzsBbeiS 
[205] COMMIT_BUY,CqOb5G0hB4 
[206] CANCEL_SET_SELL,CqOb5G0hB4,TRP 
[207] QUOTE,w69hSQMdyy,LAC 
[208] CANCEL_SELL,sYJRWa0Mih 
[209] COMMIT_BUY,sYJRWa0Mih 
[210] ADD,BqhMWgFe1n,56948.24 
[211] BUY,BqhMWgFe1n,OXY,628.70 
[212] QUOTE,jzi5Fg2GGS,SU 
[213] COMMIT_BUY,ojovZ9YLZM 
[214] BUY,jzi5Fg2GGS,BRD,246.01 
[215] SET_SELL_AMOUNT,umhaEY4lil,AAL,123.82 
[216] CANCEL_SET_SELL,CqOb5G0hB4,LXU 
[217] BUY,w69hSQMdyy,BRD,715.35 
[218] BUY,xFrzsBbeiS,AAT,476.48 
[219] COMMIT_BUY,jzi5Fg2GGS 
[220] SET_SELL_TRIGGER,umhaEY4lil,AAL,65.14 
[221] ADD,ojovZ9YLZM,82113.13 
[222] BUY,w69hSQMdyy,ABB,163.74 
[223] CANCEL_SET_SELL,LwNQpkd8mr,AC 
[224] SET_SELL_AMOUNT,BqhMWgFe1n,AAL,724.64 
[225] SELL,CqOb5G0hB4,AAL,343.68 
[226] CANCEL_BUY,xFrzsBbeiS 
[227] COMMIT_SELL,jzi5Fg2GGS 
[228] BUY,ojovZ9YLZM,TD,183.76 
[229] QUOTE,kul4JJSoHc,GME 
[230] BUY,LwNQpkd8mr,SLI,642.12 
[231] QUOTE,xFrzsBbeiS,PFE 
[232] CANCEL_BUY,w69hSQMdyy 
[233] BUY,sYJRWa0Mih,TRP,422.72 
[234] CANCEL_SELL,kul4JJSoHc 
[235] CANCEL_SET_BUY,umhaEY4lil,UAN 
[236] BUY,LwNQpkd8mr,HBB,256.42 
[237] SET_SELL_TRIGGER,BqhMWgFe1n,AAL,51.92 
[238] CANCEL_BUY,ojovZ9YLZM 
[239] COMMIT_BUY,ojovZ9YLZM 
[240] QUOTE,jzi5Fg2GGS,QQQ 
[241] DISPLAY_SUMMARY,w69hSQMdyy 
[242] COMMIT_BUY,sYJRWa0Mih 
[243] CANCEL_BUY,sYJRWa0Mih 
[244] CANCEL_SET_SELL,LwNQpkd8mr,MVO 
[245] DISPLAY_SUMMARY,xFrzsBbeiS 
[246] SET_SELL_AMOUNT,BqhMWgFe1n,AAL,672.67 
[247] DISPLAY_SUMMARY,ojovZ9YLZM 
[248] CANCEL_SELL,sYJRWa0Mih 
[249] CANCEL_BUY,umhaEY4lil 
[250] SELL,kul4JJSoHc,AAL,351.11 
[251] DISPLAY_SUMMARY,ojovZ9YLZM 
[252] CANCEL_SET_SELL,CqOb5G0hB4,CLF 
[253] CANCEL_BUY,LwNQpkd8mr 
[254] COMMIT_SELL,kul4JJSoHc 
[255] SELL,w69hSQMdyy,AAL,341.07 
[256] CANCEL_SELL,LwNQpkd8mr 
[257] CANCEL_SELL,kul4JJSoHc 
[258] ADD,CqOb5G0hB4,62340.48 
[259] ADD,LwNQpkd8mr,81152.71 
[260] SET_SELL_AMOUNT,CqOb5G0hB4,AAL,726.50 
[261] COMMIT_SELL,w69hSQMdyy 
[262] SET_SELL_TRIGGER,CqOb5G0hB4,AAL,121.86 
[263] QUOTE,LwNQpkd8mr,DIS 
[264] DISPLAY_SUMMARY,sYJRWa0Mih 
[265] BUY,xFrzsBbeiS,PFE,421.83 
[266] SET_SELL_AMOUNT,kul4JJSoHc,AAL,172.92 
[267] SET_SELL_TRIGGER,ojovZ9YLZM,IPI,25.48 
[268] BUY,ojovZ9YLZM,UAN,389.84 
[269] COMMIT_BUY,ojovZ9YLZM 
[270] BUY,CqOb5G0hB4,ALK,62.35 
[271] SET_BUY_TRIGGER,LwNQpkd8mr,AAL,31.03 
[272] BUY,sYJRWa0Mih,MVO,307.00 
[273] COMMIT_BUY,CqOb5G0hB4 
[274] CANCEL_SET_SELL,CqOb5G0hB4,CNQ 
[275] SET_SELL_TRIGGER,kul4JJSoHc,AAL,161.33 
[276] BUY,ojovZ9YLZM,AAT,133.43 
[277] CANCEL_SELL,ojovZ9YLZM 
[278] DISPLAY_SUMMARY,w69hSQMdyy 
[279] SET_BUY_AMOUNT,ojovZ9YLZM,DIS,691.00 
[280] CANCEL_SET_BUY,kul4JJSoHc,HPK 
[281] SET_BUY_TRIGGER,ojovZ9YLZM,QQQ,405.88 
[282] CANCEL_SET_BUY,kul4JJSoHc,BTU 
[283] COMMIT_BUY,sYJRWa0Mih 
[284] QUOTE,CqOb5G0hB4,LAC 
[285] COMMIT_BUY,umhaEY4lil 
[286] QUOTE,CqOb5G0hB4,TD 
[287] QUOTE,w69hSQMdyy,SLI 
[288] COMMIT_BUY,xFrzsBbeiS 
[289] BUY,CqOb5G0hB4,AAT,634.59 
[290] COMMIT_SELL,CqOb5G0hB4 
[291] SET_SELL_TRIGGER,BqhMWgFe1n,AAL,495.61 
[292] CANCEL_SET_BUY,BqhMWgFe1n,CNQ 
[293] BUY,ojovZ9YLZM,AME,259.59 
[294] SET_BUY_TRIGGER,BqhMWgFe1n,NIO,147.46 
[295] COMMIT_BUY,kul4JJSoHc 
[296] CANCEL_SET_SELL,umhaEY4lil,BMO 
[297] COMMIT_BUY,ojovZ9YLZM 
[298] BUY,w69hSQMdyy,LAC,465.19 
[299] CANCEL_SET_SELL,xFrzsBbeiS,ZIM 
[300] QUOTE,umhaEY4lil,PDS 
[301] CANCEL_SELL,LwNQpkd8mr 
[302] COMMIT_BUY,w69hSQMdyy 
[303] QUOTE,BqhMWgFe1n,CNR 
[304] ADD,CqOb5G0hB4,82718.47 
[305] CANCEL_SET_SELL,w69hSQMdyy,MVO 
[306] ADD,w69hSQMdyy,57551.49 
[307] COMMIT_BUY,umhaEY4lil 
[308] COMMIT_SELL,ojovZ9YLZM 
[309] QUOTE,BqhMWgFe1n,VET 
[310] BUY,w69hSQMdyy,ALK,455.17 
[311] BUY,ojovZ9YLZM,CLF,399.94 
[312] COMMIT_BUY,sYJRWa0Mih 
[313] SELL,CqOb5G0hB4,RRC,276.61 
[314] COMMIT_SELL,CqOb5G0hB4 
[315] BUY,ojovZ9YLZM,QQQ,653.17 
[316] BUY,BqhMWgFe1n,FPH,177.73 
[317] DISPLAY_SUMMARY,CqOb5G0hB4 
[318] COMMIT_SELL,ojovZ9YLZM 
[319] ADD,umhaEY4lil,77994.92 
[320] BUY,jzi5Fg2GGS,PDS,646.57 
[321] SET_SELL_TRIGGER,LwNQpkd8mr,CLF,65.18 
[322] COMMIT_BUY,CqOb5G0hB4 
[323] ADD,sYJRWa0Mih,85492.73 
[324] DISPLAY_SUMMARY,kul4JJSoHc 
[325] SET_BUY_TRIGGER,sYJRWa0Mih,PDS,167.93 
[326] BUY,kul4JJSoHc,AMD,193.75 
[327] QUOTE,umhaEY4lil,BTO 
[328] SET_SELL_AMOUNT,LwNQpkd8mr,RRC,162.28 
[329] COMMIT_BUY,jzi5Fg2GGS 
[330] SET_SELL_TRIGGER,LwNQpkd8mr,RRC,41.07 
[331] SELL,ojovZ9YLZM,DIS,194.51 
[332] BUY,umhaEY4lil,LAC,630.16 
[333] CANCEL_SET_BUY,xFrzsBbeiS,AMD 
[334] SELL,LwNQpkd8mr,AAL,729.95 
[335] SET_BUY_TRIGGER,CqOb5G0hB4,TRP,101.40 
[336] SET_SELL_TRIGGER,LwNQpkd8mr,QQQ,180.72 
[337] COMMIT_BUY,kul4JJSoHc 
[338] SET_BUY_TRIGGER,ojovZ9YLZM,AAL,175.97 
[339] BUY,sYJRWa0Mih,HPK,256.31 
[340] QUOTE,CqOb5G0hB4,ZIM 
[341] SELL,ojovZ9YLZM,ZIM,479.08 
[342] COMMIT_BUY,umhaEY4lil 
[343] ADD,xFrzsBbeiS,54219.64 
[344] COMMIT_SELL,jzi5Fg2GGS 
[345] SET_SELL_TRIGGER,BqhMWgFe1n,DIS,88.56 
[346] CANCEL_SET_BUY,LwNQpkd8mr,RRC 
[347] COMMIT_BUY,sYJRWa0Mih 
[348] SELL,BqhMWgFe1n,AAL,190.75 
[349] BUY,xFrzsBbeiS,OXY,489.31 
[350] SET_SELL_TRIGGER,BqhMWgFe1n,ABB,21.86 
[351] COMMIT_SELL,ojovZ9YLZM 
[352] SET_SELL_TRIGGER,LwNQpkd8mr,INO,37.97 
[353] COMMIT_BUY,kul4JJSoHc 
[354] CANCEL_SET_SELL,sYJRWa0Mih,ABB 
[355] COMMIT_BUY,xFrzsBbeiS 
[356] CANCEL_SET_BUY,BqhMWgFe1n,HBB 
[357] BUY,ojovZ9YLZM,FPH,226.35 
[358] ADD,sYJRWa0Mih,75431.71 
[359] QUOTE,sYJRWa0Mih,NRT 
[360] ADD,w69hSQMdyy,69448.20 
[361] CANCEL_SET_SELL,xFrzsBbeiS,RY 
[362] SELL,kul4JJSoHc,DIS,643.48 
[363] DISPLAY_SUMMARY,umhaEY4lil 
[364] DISPLAY_SUMMARY,sYJRWa0Mih 
[365] DISPLAY_SUMMARY,LwNQpkd8mr 
[366] BUY,CqOb5G0hB4,HPK,452.91 
[367] COMMIT_SELL,sYJRWa0Mih 
[368] SET_BUY_TRIGGER,kul4JJSoHc,SU,178.33 
[369] DISPLAY_SUMMARY,CqOb5G0hB4 
[370] COMMIT_BUY,ojovZ9YLZM 
[371] SELL,jzi5Fg2GGS,RRC,659.97 
[372] BUY,w69hSQMdyy,AAT,354.36 
[373] DISPLAY_SUMMARY,kul4JJSoHc 
[374] SET_SELL_AMOUNT,sYJRWa0Mih,AAL,619.12 
[375] COMMIT_SELL,kul4JJSoHc 
[376] BUY,w69hSQMdyy,AME,239.58 
[377] DISPLAY_SUMMARY,CqOb5G0hB4 
[378] COMMIT_SELL,w69hSQMdyy 
[379] BUY,CqOb5G0hB4,AR,541.58 
[380] BUY,w69hSQMdyy,HBB,507.17 
[381] COMMIT_BUY,w69hSQMdyy 
[382] BUY,w69hSQMdyy,TD,54.96 
[383] CANCEL_SELL,jzi5Fg2GGS 
[384] DISPLAY_SUMMARY,w69hSQMdyy 
[385] QUOTE,umhaEY4lil,PFE 
[386] COMMIT_BUY,jzi5Fg2GGS 
[387] ADD,xFrzsBbeiS,51585.47 
[388] COMMIT_BUY,CqOb5G0hB4 
[389] CANCEL_SET_SELL,sYJRWa0Mih,AAL 
[390] SET_BUY_TRIGGER,umhaEY4lil,SLI,84.69 
[391] COMMIT_SELL,ojovZ9YLZM 
[392] QUOTE,xFrzsBbeiS,FPH 
[393] CANCEL_SET_SELL,umhaEY4lil,TD 
[394] BUY,jzi5Fg2GGS,BMO,374.71 
[395] CANCEL_SET_SELL,ojovZ9YLZM,DDS 
[396] ADD,LwNQpkd8mr,65873.52 
[397] BUY,xFrzsBbeiS,AC,233.75 
[398] BUY,LwNQpkd8mr,LAC,502.76 
[399] COMMIT_BUY,xFrzsBbeiS 
[400] BUY,xFrzsBbeiS,AAT,367.33 
[401] DISPLAY_SUMMARY,xFrzsBbeiS 
[402] COMMIT_BUY,umhaEY4lil 
[403] QUOTE,w69hSQMdyy,AMD 
[404] ADD,umhaEY4lil,67593.47 
[405] ADD,w69hSQMdyy,53746.38 
[406] CANCEL_SET_SELL,ojovZ9YLZM,HPK 
[407] COMMIT_BUY,jzi5Fg2GGS 
[408] COMMIT_BUY,kul4JJSoHc 
[409] QUOTE,BqhMWgFe1n,AME 
[410] BUY,sYJRWa0Mih,CLF,148.87 
[411] CANCEL_SET_BUY,ojovZ9YLZM,AAL 
[412] COMMIT_BUY,LwNQpkd8mr 
[413] COMMIT_BUY,xFrzsBbeiS 
[414] CANCEL_BUY,sYJRWa0Mih 
[415] QUOTE,ojovZ9YLZM,AME 
[416] BUY,BqhMWgFe1n,LXU,337.65 
[417] SELL,sYJRWa0Mih,AAL,414.62 
[418] BUY,w69hSQMdyy,HPK,70.05 
[419] CANCEL_SET_SELL,umhaEY4lil,HBB 
[420] COMMIT_BUY,BqhMWgFe1n 
[421] CANCEL_BUY,BqhMWgFe1n 
[422] QUOTE,CqOb5G0hB4,HBB 
[423] SET_BUY_TRIGGER,w69hSQMdyy,SLI,47.50 
[424] ADD,jzi5Fg2GGS,40686.81 
[425] COMMIT_SELL,sYJRWa0Mih 
[426] BUY,xFrzsBbeiS,AMD,269.03 
[427] ADD,CqOb5G0hB4,56357.69 
[428] BUY,kul4JJSoHc,DIS,611.01 
[429] BUY,w69hSQMdyy,ALK,433.89 
[430] BUY,ojovZ9YLZM,AC,307.12 
[431] DISPLAY_SUMMARY,LwNQpkd8mr 
[432] CANCEL_BUY,umhaEY4lil 
[433] CANCEL_SET_SELL,umhaEY4lil,ALK 
[434] COMMIT_BUY,umhaEY4lil 
[435] SET_SELL_TRIGGER,w69hSQMdyy,PDS,53.26 
[436] COMMIT_SELL,umhaEY4lil 
[437] ADD,umhaEY4lil,69916.32 
[438] DISPLAY_SUMMARY,sYJRWa0Mih 
[439] COMMIT_BUY,kul4JJSoHc 
[440] CANCEL_SET_SELL,kul4JJSoHc,PDS 
[441] DISPLAY_SUMMARY,xFrzsBbeiS 
[442] SELL,BqhMWgFe1n,AAL,564.86 
[443] COMMIT_BUY,LwNQpkd8mr 
[444] SELL,LwNQpkd8mr,RRC,734.23 
[445] SELL,CqOb5G0hB4,CLF,133.83 
[446] SELL,kul4JJSoHc,CLF,661.78 
[447] COMMIT_SELL,kul4JJSoHc 
[448] CANCEL_SET_SELL,w69hSQMdyy,HCC 
[449] COMMIT_SELL,w69hSQMdyy 
[450] COMMIT_SELL,BqhMWgFe1n 
[451] ADD,kul4JJSoHc,44147.65 
[452] QUOTE,BqhMWgFe1n,FPH 
[453] QUOTE,sYJRWa0Mih,HBB 
[454] CANCEL_BUY,ojovZ9YLZM 
[455] BUY,jzi5Fg2GGS,SLI,613.19 
[456] CANCEL_SET_SELL,BqhMWgFe1n,AAL 
[457] SELL,xFrzsBbeiS,ZIM,733.50 
[458] BUY,w69hSQMdyy,QQQ,682.40 
[459] CANCEL_SET_BUY,BqhMWgFe1n,CLF 
[460] CANCEL_SET_BUY,sYJRWa0Mih,SU 
[461] SELL,sYJRWa0Mih,DIS,236.38 
[462] QUOTE,BqhMWgFe1n,DDS 
[463] CANCEL_SELL,xFrzsBbeiS 
[464] BUY,kul4JJSoHc,NIO,737.04 
[465] DISPLAY_SUMMARY,xFrzsBbeiS 
[466] COMMIT_SELL,LwNQpkd8mr 
[467] QUOTE,kul4JJSoHc,NIO 
[468] DISPLAY_SUMMARY,xFrzsBbeiS 
[469] DISPLAY_SUMMARY,CqOb5G0hB4 
[470] CANCEL_BUY,kul4JJSoHc 
[471] SET_SELL_TRIGGER,w69hSQMdyy,AME,139.71 
[472] DISPLAY_SUMMARY,LwNQpkd8mr 
[473] SET_SELL_TRIGGER,w69hSQMdyy,LXU,68.19 
[474] SET_BUY_AMOUNT,xFrzsBbeiS,RRC,724.12 
[475] DISPLAY_SUMMARY,kul4JJSoHc 
[476] SET_BUY_TRIGGER,xFrzsBbeiS,CVE,437.64 
[477] DISPLAY_SUMMARY,CqOb5G0hB4 
[478] CANCEL_SET_SELL,LwNQpkd8mr,RRC 
[479] DISPLAY_SUMMARY,LwNQpkd8mr 
[480] CANCEL_SET_SELL,BqhMWgFe1n,OXY 
[481] SET_SELL_AMOUNT,umhaEY4lil,DIS,496.87 
[482] COMMIT_BUY,jzi5Fg2GGS 
[483] DISPLAY_SUMMARY,umhaEY4lil 
[484] SELL,BqhMWgFe1n,AAL,193.09 
[485] BUY,kul4JJSoHc,BTU,653.97 
[486] CANCEL_SET_BUY,ojovZ9YLZM,CVE 
[487] ADD,CqOb5G0hB4,88946.16 
[488] ADD,kul4JJSoHc,60993.50 
[489] CANCEL_SET_SELL,umhaEY4lil,DIS 
[490] CANCEL_SELL,sYJRWa0Mih 
[491] CANCEL_BUY,ojovZ9YLZM 
[492] QUOTE,kul4JJSoHc,DIS 
[493] QUOTE,w69hSQMdyy,OXY 
[494] QUOTE,kul4JJSoHc,BRD 
[495] SET_BUY_TRIGGER,sYJRWa0Mih,ALK,6.78 
[496] SET_SELL_TRIGGER,w69hSQMdyy,SLI,98.51 
[497] QUOTE,xFrzsBbeiS,CNR 
[498] COMMIT_SELL,BqhMWgFe1n 
[499] QUOTE,jzi5Fg2GGS,LAC 
[500] ADD,jzi5Fg2GGS,39041.13 
[501] CANCEL_BUY,sYJRWa0Mih 
[502] CANCEL_SELL,jzi5Fg2GGS 
[503] SET_BUY_TRIGGER,CqOb5G0hB4,SLI,127.75 
[504] COMMIT_SELL,jzi5Fg2GGS 
